CLIENTNUM,Income_Category,Total_Trans_Amt
804598908,$80K - $120K,2238
719161683,Unknown,1607
719327808,Unknown,1157
714038433,$40K - $60K,2953
710129283,Unknown,2944
709367433,$40K - $60K,2261
719729433,Less than $40K,2535
717192933,$120K +,1576
711734508,$80K - $120K,1584
715153158,$40K - $60K,4254
712149033,Less than $40K,1834
713901108,$60K - $80K,3444
719415858,Unknown,2460
719385558,$40K - $60K,1281
779528658,$60K - $80K,2133
721508283,Less than $40K,3700
797753283,Less than $40K,1926
807523008,Unknown,2473
711416958,Unknown,2322
780865308,$80K - $120K,4542
708423933,$40K - $60K,3203
714321408,$40K - $60K,1429
771852483,$80K - $120K,3343
708185208,$40K - $60K,2010
714920208,Less than $40K,3148
789952158,Unknown,2689
713237958,$40K - $60K,1868
715956258,Less than $40K,1974
769196433,Less than $40K,2000
778942233,Less than $40K,1267
708651933,$60K - $80K,2311
720467583,$80K - $120K,3072
716549058,$40K - $60K,1998
713533983,$120K +,1590
787463508,Less than $40K,1027
710256708,Less than $40K,2579
708980283,$80K - $120K,2179
719484408,$60K - $80K,2903
710023233,$120K +,2739
789101883,$120K +,2729
778381608,$80K - $120K,1766
787492908,Unknown,4357
709932558,Less than $40K,1771
780219483,Less than $40K,1339
708590658,Unknown,1619
715143333,Less than $40K,3910
801048483,$120K +,2646
711913833,$40K - $60K,1865
715413483,Less than $40K,3888
715750758,$80K - $120K,1602
714062958,$40K - $60K,2552
710458758,Less than $40K,1203
719494983,Less than $40K,1997
710586483,Unknown,968
772637058,$60K - $80K,2141
718229133,$120K +,3783
718423533,$60K - $80K,2983
781089708,$80K - $120K,2495
773082033,$80K - $120K,2317
815288583,$40K - $60K,2501
720431433,Unknown,1402
709164408,Less than $40K,730
710567508,$80K - $120K,1387
719427333,$60K - $80K,1291
714765408,Less than $40K,2266
709785783,Less than $40K,1485
809290308,Less than $40K,1912
779598183,$60K - $80K,3428
779783508,$40K - $60K,2564
719207733,Less than $40K,1418
715533108,Less than $40K,2568
714816258,$60K - $80K,2336
787573683,$60K - $80K,4189
804310758,$120K +,2005
719078283,Less than $40K,1501
708620283,$60K - $80K,2208
770985633,$40K - $60K,1980
780094008,$120K +,1624
716420358,$40K - $60K,3151
825756333,Less than $40K,2118
755273658,Less than $40K,2055
709096908,$120K +,1865
714840858,Less than $40K,3302
721205508,$80K - $120K,1848
803963808,$80K - $120K,3762
751469808,$120K +,1606
721055058,$60K - $80K,2599
709794333,Less than $40K,1608
718361583,Unknown,1559
714327183,Less than $40K,2878
808909008,Less than $40K,1448
716207508,$60K - $80K,1981
768965208,$40K - $60K,3158
720185058,$60K - $80K,1067
715220508,Less than $40K,2726
712112733,$40K - $60K,2518
712298883,Less than $40K,2987
717813558,Unknown,1334
716823408,Unknown,2278
719089383,$40K - $60K,4303
710039208,Unknown,3871
780237033,$40K - $60K,1539
720986958,$40K - $60K,2293
709473708,$80K - $120K,1780
708593883,$60K - $80K,1813
710241858,Less than $40K,2040
715392558,$120K +,2848
717399183,$80K - $120K,2774
817925058,Unknown,1932
716029158,$60K - $80K,1480
715043508,$40K - $60K,4642
716610558,$40K - $60K,2724
716768808,$120K +,1591
795810633,Unknown,1234
779925033,$40K - $60K,2807
790225758,$80K - $120K,2262
713879283,Less than $40K,1694
715968858,Unknown,1822
767687208,$80K - $120K,2329
778728783,Less than $40K,2739
713637783,Unknown,1810
718162908,$80K - $120K,1472
708664008,$80K - $120K,1222
711929058,Unknown,2157
770781558,Less than $40K,1914
790048158,Less than $40K,2632
721258158,Unknown,2429
786480183,Unknown,3626
721378008,$40K - $60K,2718
786566733,$80K - $120K,3764
794551383,Less than $40K,4535
820981383,Less than $40K,1739
713366583,Less than $40K,1405
767311008,$80K - $120K,1576
716624133,$80K - $120K,1205
712727283,$60K - $80K,1281
716059608,Less than $40K,3277
708292833,$120K +,2754
720013083,Less than $40K,3265
710540883,$80K - $120K,2449
709212183,Less than $40K,1634
713424108,$60K - $80K,2591
718476033,Unknown,2444
815001108,Less than $40K,3598
709802208,$40K - $60K,2849
713445183,$60K - $80K,2794
717310458,Less than $40K,2960
789158433,$40K - $60K,2922
788761608,Unknown,2564
709916058,$60K - $80K,1631
789804933,Unknown,2536
780070833,Less than $40K,1617
772776033,$80K - $120K,2249
719804208,$40K - $60K,1933
715077483,Less than $40K,2250
717000858,Less than $40K,2274
792402483,$60K - $80K,4263
712973733,$60K - $80K,1393
813213558,Less than $40K,3709
718215033,Less than $40K,1401
717207408,Unknown,2995
711426033,$80K - $120K,3806
719233833,Less than $40K,1944
821168733,$60K - $80K,1783
710135058,$80K - $120K,1543
720228708,$120K +,1302
718618458,$60K - $80K,4345
719470458,$80K - $120K,1102
719587158,$40K - $60K,2565
715499808,Less than $40K,1342
718589133,Less than $40K,2328
789235383,$80K - $120K,2119
713548158,$40K - $60K,2349
720264783,Less than $40K,1433
715319958,$120K +,1312
710528583,$40K - $60K,2148
809990883,Less than $40K,2038
714412308,$80K - $120K,916
772303458,$40K - $60K,1407
721243083,$80K - $120K,1187
711990933,Less than $40K,3292
819977058,$40K - $60K,3432
721467258,$40K - $60K,1541
719976558,$60K - $80K,1881
718824783,$60K - $80K,1986
713303733,$120K +,1564
711129483,$60K - $80K,3447
779618433,$40K - $60K,4428
814497483,$60K - $80K,1618
709623483,$120K +,1281
709056558,$40K - $60K,1994
708238833,Less than $40K,1387
813261408,$40K - $60K,3446
720424608,Unknown,1341
798022683,$80K - $120K,2508
769756983,$60K - $80K,2520
712674183,$40K - $60K,1271
708900408,Unknown,4370
713625483,$80K - $120K,1469
716869458,Less than $40K,2251
788723133,$40K - $60K,2240
794462133,$40K - $60K,1749
712604133,$80K - $120K,1736
714397983,$40K - $60K,1942
788269158,Unknown,2534
715898058,$120K +,1656
711906033,Less than $40K,3546
711367308,$40K - $60K,2614
790186458,$80K - $120K,1589
712040433,Less than $40K,2097
714633858,Less than $40K,2102
794818833,Less than $40K,2661
711219333,$120K +,2273
713384508,Less than $40K,2698
772514808,$40K - $60K,2315
710808108,Less than $40K,2257
778973658,$60K - $80K,2273
712005108,Less than $40K,1376
804577833,Less than $40K,3974
715028283,$80K - $120K,2836
789786258,$80K - $120K,2118
715421058,$60K - $80K,3346
797166633,$80K - $120K,2694
711041508,$40K - $60K,2623
712847208,$40K - $60K,1898
779174133,$120K +,1540
715680933,$80K - $120K,3369
770871708,$40K - $60K,2123
772643058,Less than $40K,1571
718199133,$80K - $120K,1519
721475133,Unknown,2768
766322883,$40K - $60K,2401
771197433,Less than $40K,1351
709516458,$60K - $80K,2723
716456808,Less than $40K,2429
716819958,$60K - $80K,1661
779449308,Less than $40K,3253
784891458,$80K - $120K,1502
790004883,$80K - $120K,1352
770262183,Less than $40K,2324
715277583,Less than $40K,2803
815510883,$40K - $60K,2576
713997183,Less than $40K,2214
715107033,Less than $40K,2429
720706008,$40K - $60K,2679
710108133,$40K - $60K,1307
718983333,$80K - $120K,1331
710496708,$120K +,4085
714935883,$40K - $60K,4074
718972758,Less than $40K,1825
711827958,$60K - $80K,1032
778724058,$40K - $60K,3982
809620833,Unknown,2314
718920708,$60K - $80K,2172
771051783,$120K +,1297
715970133,Less than $40K,3448
806889633,$80K - $120K,2906
717338733,Less than $40K,2801
779223858,$60K - $80K,2675
769980333,$80K - $120K,3023
716112933,Unknown,644
788783133,Less than $40K,1649
816325533,Less than $40K,2315
720113433,$60K - $80K,2073
717233058,$40K - $60K,1524
710233683,$80K - $120K,1526
778327908,Less than $40K,4099
716400633,$40K - $60K,2057
787488108,Unknown,1970
771649083,$80K - $120K,1508
789853533,$40K - $60K,1037
806256333,$60K - $80K,1786
796336833,$80K - $120K,2619
713763633,Unknown,1488
710942358,$40K - $60K,3814
713974533,Less than $40K,3127
719810583,Less than $40K,1280
717124983,$40K - $60K,1459
787523283,$80K - $120K,2291
719493858,Less than $40K,2910
709897983,$40K - $60K,1921
717225258,$120K +,2383
803148033,$80K - $120K,1599
779474958,Less than $40K,2144
712060158,$60K - $80K,2483
713292933,Unknown,2156
710982858,$40K - $60K,2849
712319058,Less than $40K,2468
744483633,$120K +,2753
714947883,$40K - $60K,1693
788776908,$80K - $120K,3525
714802458,$40K - $60K,3580
721485708,$80K - $120K,1220
716378658,Less than $40K,1725
713375658,$40K - $60K,2298
717828108,$80K - $120K,1327
788784258,Unknown,1475
718875483,$60K - $80K,4491
811111083,$60K - $80K,1458
780197133,$60K - $80K,3699
719146008,$80K - $120K,1126
717727308,Less than $40K,4740
718445883,Less than $40K,1617
795997908,$80K - $120K,3215
710159658,$120K +,2436
716068683,Unknown,3093
778844433,$80K - $120K,3210
715161633,$40K - $60K,3068
773270058,$80K - $120K,1337
714120258,$80K - $120K,2735
720076458,$80K - $120K,1327
720693033,$60K - $80K,741
719978583,$60K - $80K,3281
712784058,Unknown,1142
717261708,$80K - $120K,1548
803665983,$60K - $80K,3829
815838633,$60K - $80K,1889
826706208,$80K - $120K,4042
721218408,$120K +,1924
779484408,$60K - $80K,2874
710416533,$40K - $60K,3060
719706483,$120K +,2202
712206858,$120K +,3094
709886583,Less than $40K,2761
711040758,$40K - $60K,3006
817197333,Unknown,2678
718929708,Less than $40K,1558
721150833,$80K - $120K,3028
714514983,Less than $40K,5029
779888658,$80K - $120K,1426
715883358,$80K - $120K,1454
713363583,$120K +,3345
820075983,Less than $40K,2299
721502958,$120K +,1406
708596283,Less than $40K,2844
708823908,$60K - $80K,4252
826401858,Less than $40K,2448
709554483,Less than $40K,1637
710545158,$120K +,3738
788621658,$60K - $80K,1457
716713533,$80K - $120K,3393
712338033,$80K - $120K,1687
711639708,$60K - $80K,1794
720216108,Less than $40K,2605
718708908,$60K - $80K,1426
802890333,$40K - $60K,1660
712965183,Less than $40K,1188
796170933,$80K - $120K,3600
712816833,Unknown,1425
814829583,Less than $40K,4822
798769458,Less than $40K,3011
818034558,$60K - $80K,2337
719483358,$40K - $60K,2962
719647383,$80K - $120K,2001
714909108,Less than $40K,2641
720854358,$40K - $60K,2026
709126833,$120K +,4121
788896983,$60K - $80K,1537
715731033,$120K +,3569
717636933,$40K - $60K,3542
772658658,$60K - $80K,4439
755943033,Less than $40K,2450
826130133,$120K +,1121
719238183,Less than $40K,2238
802666083,Less than $40K,3656
713682708,$40K - $60K,3692
712774008,Less than $40K,1489
717627333,$40K - $60K,1363
779542608,$80K - $120K,1739
715322958,Unknown,3575
779100408,Less than $40K,2629
715352883,Unknown,5176
789963033,Less than $40K,1603
710687508,Less than $40K,2148
789656358,$40K - $60K,3956
715720083,$80K - $120K,3157
716584158,$80K - $120K,2090
815727183,$80K - $120K,2683
717066408,$60K - $80K,2540
708104658,$40K - $60K,2928
718016808,Less than $40K,1475
814571058,Less than $40K,2545
710345808,$80K - $120K,1828
814752558,$40K - $60K,2513
721284258,$80K - $120K,1636
719336583,$120K +,1525
797638383,Less than $40K,3561
708434733,$60K - $80K,1249
711802758,$40K - $60K,1700
720620058,$80K - $120K,1959
819169683,$40K - $60K,1972
709757583,$120K +,2074
789307833,$120K +,1849
823912308,Less than $40K,1767
720746208,$80K - $120K,1356
709121283,Less than $40K,1615
714093108,$40K - $60K,1707
718368333,Less than $40K,3323
806752533,Less than $40K,2553
758521983,$80K - $120K,2198
779473308,$60K - $80K,2411
709376508,Less than $40K,1815
712141683,Less than $40K,3457
721350783,$80K - $120K,1569
710133858,Less than $40K,4150
719152383,Less than $40K,2946
715174158,$80K - $120K,2588
780040758,$40K - $60K,1999
719525358,$80K - $120K,3310
710892408,Less than $40K,1681
713295183,$80K - $120K,3897
789871233,$80K - $120K,4316
712663533,$40K - $60K,3903
820906233,$40K - $60K,3242
821163408,$80K - $120K,3411
708947208,$80K - $120K,2631
715261458,Less than $40K,2621
789310833,$40K - $60K,3164
818294958,$120K +,4040
713902983,Less than $40K,4381
771693933,Less than $40K,1757
827984658,$80K - $120K,1885
789012633,Less than $40K,2907
807237783,$60K - $80K,4166
803408733,$60K - $80K,2466
824667708,Less than $40K,3007
807165033,$60K - $80K,3533
809984133,$120K +,2730
751227183,$80K - $120K,2283
716331408,Less than $40K,1353
774172158,$60K - $80K,2650
708171858,$40K - $60K,2607
709074108,$60K - $80K,2787
721304133,Less than $40K,1855
787430733,$40K - $60K,1706
711225933,Less than $40K,2306
717478983,Less than $40K,2697
720949083,Less than $40K,3534
712851108,Unknown,2965
713151258,$40K - $60K,3524
799731033,Less than $40K,3044
822138333,$40K - $60K,3964
708532308,$60K - $80K,3000
713718558,$40K - $60K,3393
778939683,Less than $40K,1452
713322633,$40K - $60K,1682
754671558,Less than $40K,2073
719291283,Less than $40K,2660
720659283,$60K - $80K,1910
719535558,$40K - $60K,4129
771032658,$80K - $120K,1604
709468683,Less than $40K,1755
719455908,$80K - $120K,3742
816890883,$60K - $80K,2266
709826058,$80K - $120K,1805
735008958,$60K - $80K,1703
713766183,$80K - $120K,4160
719148633,Less than $40K,1398
789266208,$80K - $120K,1408
718373658,$60K - $80K,3817
712255458,$60K - $80K,2879
789494133,Less than $40K,2441
714178458,$80K - $120K,1792
717595908,$60K - $80K,1688
798114033,$60K - $80K,3355
709479558,Less than $40K,3073
778148283,$120K +,3921
719363283,Less than $40K,1904
716225433,$80K - $120K,3103
719882583,$60K - $80K,3866
711076533,Less than $40K,3435
820651908,$40K - $60K,3162
797468658,$120K +,1536
716375883,Unknown,1716
711534183,$80K - $120K,3533
721083258,$40K - $60K,2064
717986058,Less than $40K,2712
804610908,Less than $40K,3295
717602733,Less than $40K,4165
770952933,Less than $40K,1616
713233908,$60K - $80K,2883
755365233,$60K - $80K,3948
712658283,$40K - $60K,3222
708796458,Less than $40K,3016
713557533,$40K - $60K,2664
710524533,$40K - $60K,899
713412558,Less than $40K,2674
720000708,Unknown,2945
718934058,$40K - $60K,2396
710607408,Unknown,3999
821710308,Less than $40K,1739
716089983,$40K - $60K,2015
720430083,Less than $40K,3913
712071708,Less than $40K,1320
770721858,Less than $40K,1463
751381458,Unknown,3814
768886533,$60K - $80K,3246
711023508,Unknown,1547
711291558,$60K - $80K,2636
714929283,$40K - $60K,2625
716285358,Less than $40K,2801
710958033,Less than $40K,4075
711368283,$80K - $120K,3448
807275733,Unknown,2498
708231183,Unknown,2643
789690483,$80K - $120K,3135
789338583,$80K - $120K,1988
717411483,$80K - $120K,3731
720799608,$40K - $60K,1621
714112383,$120K +,1380
717994608,$80K - $120K,2113
798558783,Less than $40K,3732
716875083,$40K - $60K,2351
714603558,$40K - $60K,2007
789903708,$40K - $60K,3968
801989733,$60K - $80K,3915
789504183,$120K +,2574
714574083,Less than $40K,2511
717978033,Less than $40K,2822
711256908,$60K - $80K,3695
721023708,$60K - $80K,2142
714522258,Less than $40K,1596
714247458,Unknown,3271
780416433,Less than $40K,2169
713644758,$120K +,4098
712700358,Less than $40K,2411
779873508,Less than $40K,3607
779342958,$40K - $60K,3625
711738333,$80K - $120K,2361
709413933,$40K - $60K,1920
708132783,Unknown,3929
713372583,Less than $40K,3786
710092683,$80K - $120K,1837
779284833,$60K - $80K,3591
713426358,Unknown,2395
717132633,$40K - $60K,3066
714967233,$120K +,2109
767587833,$120K +,4599
714954033,Less than $40K,2675
755399433,$80K - $120K,4549
709876008,Less than $40K,1803
709918158,$80K - $120K,2028
713350908,$40K - $60K,3636
715759458,$80K - $120K,4066
713976258,Less than $40K,3102
790174608,$80K - $120K,2660
771335358,$40K - $60K,3161
708382083,$80K - $120K,2584
771829758,$80K - $120K,2143
767333808,Less than $40K,4929
721385433,Less than $40K,1662
794293908,Unknown,2847
720409608,$120K +,1717
717830583,$80K - $120K,4101
715455708,$80K - $120K,2361
719108358,$80K - $120K,2783
769323183,$120K +,2086
820020258,$40K - $60K,1778
719234883,$120K +,3990
807349158,$120K +,2243
710799783,$120K +,3143
778456983,Less than $40K,1823
708644208,$40K - $60K,3355
711659958,$40K - $60K,1594
798988983,Less than $40K,3553
710760258,Less than $40K,4740
772401933,Less than $40K,3569
787460883,$40K - $60K,1234
807161508,Less than $40K,2804
772268058,Less than $40K,3129
710166783,Less than $40K,4277
804820233,$80K - $120K,2763
708758658,$80K - $120K,3951
714011358,$80K - $120K,2876
712401033,Less than $40K,2186
771212508,Less than $40K,2825
821150958,$80K - $120K,3452
792272658,$80K - $120K,3756
809818008,$80K - $120K,2300
803231058,Less than $40K,4294
715698633,Less than $40K,2341
720450108,$40K - $60K,1585
719076858,$60K - $80K,2651
720016308,Less than $40K,4199
712443558,Unknown,1994
711835758,$120K +,1756
709284333,$120K +,2546
788122533,Less than $40K,1336
709206333,$40K - $60K,1558
713039808,Less than $40K,1801
801700233,$120K +,3140
716815308,Less than $40K,3942
821149008,$80K - $120K,1661
720580383,Less than $40K,3637
780202908,Less than $40K,2833
787504158,Less than $40K,1755
716183283,Less than $40K,3563
824168808,Unknown,2271
712936908,$60K - $80K,2969
719855958,$60K - $80K,3367
710112933,$60K - $80K,2580
768364233,$40K - $60K,1505
771725808,$80K - $120K,3395
780686358,$60K - $80K,3798
712762758,$60K - $80K,3179
714392808,$80K - $120K,3504
713089458,Less than $40K,3411
826780683,$60K - $80K,3943
780251658,$40K - $60K,2395
772273983,$40K - $60K,2138
737944908,$60K - $80K,1599
720688158,Less than $40K,2751
719902908,$80K - $120K,1434
771682533,Less than $40K,3928
708193008,$80K - $120K,1616
772449858,$40K - $60K,3849
715992558,$80K - $120K,1968
708704433,Unknown,2812
720906033,$40K - $60K,2987
719961183,Less than $40K,1550
718838808,Less than $40K,2720
710268858,Less than $40K,3162
788360283,$80K - $120K,2557
717914808,Unknown,4044
802884933,$60K - $80K,1665
714436383,$80K - $120K,4222
708816408,$80K - $120K,3063
715363908,Less than $40K,3658
827643858,Less than $40K,3212
711251133,$80K - $120K,2990
716896833,$80K - $120K,1976
789193383,Less than $40K,3495
712801758,$40K - $60K,3052
719836083,$60K - $80K,1543
718291233,$80K - $120K,4314
718682883,$80K - $120K,4478
771503958,$40K - $60K,4089
771960708,$80K - $120K,3591
712737108,Unknown,4221
771599283,$80K - $120K,1606
717237708,$60K - $80K,3982
712513458,Less than $40K,3150
709690158,Less than $40K,1470
709959858,Less than $40K,3825
718318383,$60K - $80K,4251
708849858,$120K +,3683
712652283,$80K - $120K,3030
793461933,$80K - $120K,2835
720084183,$120K +,3018
767114958,Less than $40K,3250
709216533,$80K - $120K,3142
720897783,$120K +,2776
773503308,Less than $40K,4010
719963433,Unknown,3676
708139833,$60K - $80K,2323
710664558,Less than $40K,3927
713687508,$60K - $80K,3159
816312633,$40K - $60K,2349
712019883,Unknown,3337
718216008,$60K - $80K,3275
718345233,Less than $40K,1904
771228183,Less than $40K,3294
789430083,$40K - $60K,4470
779524833,$80K - $120K,3640
823621083,$120K +,3948
715563558,$120K +,2533
715424283,Less than $40K,3059
807209808,$60K - $80K,3739
716578158,Less than $40K,3205
708911508,Less than $40K,3446
710681808,$80K - $120K,2484
708740808,$40K - $60K,2949
711728208,$120K +,4143
709012083,Less than $40K,2010
771073908,$40K - $60K,1406
718174908,Less than $40K,1458
709550958,$60K - $80K,2689
720411183,Unknown,3042
720776508,$40K - $60K,4248
755615208,$120K +,4084
708147108,Unknown,2309
827476983,Less than $40K,1865
716682258,$120K +,3650
708563433,Unknown,1616
772277508,Less than $40K,3292
712515558,$60K - $80K,2834
719342808,$80K - $120K,3750
788957358,$40K - $60K,4224
778386033,$60K - $80K,2068
820060758,Less than $40K,3651
720555483,$80K - $120K,4100
709405758,$60K - $80K,1965
769463433,Less than $40K,3593
786087633,$60K - $80K,1650
738627708,Unknown,1838
719527833,Unknown,3886
715921758,$60K - $80K,2882
717280158,Less than $40K,3332
714179658,$120K +,1996
806637558,$60K - $80K,1539
714828708,$80K - $120K,3656
711989358,$80K - $120K,3811
720188508,$60K - $80K,4071
719528958,$40K - $60K,4134
713110908,Less than $40K,1719
721179708,Less than $40K,4422
716363658,$120K +,3920
711443808,$60K - $80K,4068
778952058,$80K - $120K,3435
713642133,$40K - $60K,4558
778908783,$80K - $120K,1427
778170633,$80K - $120K,3661
714670533,$80K - $120K,3069
771833433,$80K - $120K,2063
772758783,$80K - $120K,3343
788959758,$40K - $60K,3451
716878533,$80K - $120K,1425
713267133,Less than $40K,3088
716263533,$80K - $120K,3166
719026383,Less than $40K,3135
821755233,Unknown,3441
714318033,$60K - $80K,3321
828291858,$60K - $80K,2381
779647608,$120K +,4199
787605558,Less than $40K,3489
771534408,Less than $40K,3897
716219808,$60K - $80K,1742
789125733,Less than $40K,2114
709695333,$80K - $120K,3577
712233183,Less than $40K,3244
716645883,$60K - $80K,4297
711762408,$40K - $60K,4023
818305008,$40K - $60K,3978
788159433,$60K - $80K,3855
708112008,$80K - $120K,1661
714731208,$40K - $60K,4050
710006958,Less than $40K,4755
815062383,Less than $40K,1914
778447908,$80K - $120K,4136
720725058,Less than $40K,1375
708582858,$60K - $80K,2958
779833908,Unknown,4095
818687958,$80K - $120K,4462
754872333,$120K +,4740
718637208,Less than $40K,1689
711935283,$80K - $120K,1427
716950758,$60K - $80K,1657
716497908,Unknown,3698
809358708,$80K - $120K,3514
716037708,$60K - $80K,3240
717804783,Less than $40K,4160
715338783,$60K - $80K,3018
779645658,$60K - $80K,3607
787565433,$80K - $120K,1494
717287883,$80K - $120K,1532
715746633,Less than $40K,4256
720635883,$80K - $120K,2902
710077008,$120K +,3522
804437658,Less than $40K,3413
780000258,$120K +,4172
825785508,$120K +,4890
720252858,$60K - $80K,3396
710017758,$40K - $60K,3784
718364283,$60K - $80K,3602
711638658,$40K - $60K,2878
720877083,$80K - $120K,3323
715662258,Less than $40K,3777
715570533,$120K +,1632
758202858,Less than $40K,3453
712872183,Less than $40K,2464
710014683,Less than $40K,2807
716934333,$80K - $120K,3556
778523733,$80K - $120K,3625
716353083,$60K - $80K,4444
753642933,Less than $40K,4293
708151008,$40K - $60K,2433
789646158,$40K - $60K,3297
712423233,$60K - $80K,3752
719806233,$120K +,2686
786509358,$80K - $120K,2051
711502908,$60K - $80K,3550
748617858,$60K - $80K,2968
721532583,$80K - $120K,1995
789244308,$80K - $120K,3986
719136183,Less than $40K,3410
716939358,Unknown,4632
778155558,$80K - $120K,3560
713461533,$80K - $120K,3042
803776533,$60K - $80K,2118
714857508,Unknown,3939
720348933,$60K - $80K,3060
721158108,$60K - $80K,3982
789043008,Less than $40K,2058
713362158,$120K +,3519
712623258,Less than $40K,2272
708494583,Less than $40K,3731
718394658,Less than $40K,2366
719398158,$80K - $120K,3912
711885258,Less than $40K,2078
789161358,Less than $40K,2666
787581858,$120K +,3612
779198133,Less than $40K,3530
708314808,Unknown,1570
717134058,Unknown,4028
783366483,Unknown,3242
715412583,$40K - $60K,3815
754457883,Less than $40K,1876
742552683,Less than $40K,4208
711455133,$120K +,2481
716387733,$60K - $80K,1693
772571508,Less than $40K,2311
718815108,$80K - $120K,3420
719266158,$80K - $120K,3434
767523933,$60K - $80K,3938
797466033,$40K - $60K,2880
712612233,$60K - $80K,2067
716516208,$80K - $120K,3748
709950858,$80K - $120K,3458
779882508,$40K - $60K,3364
717472833,$80K - $120K,4253
709562358,Less than $40K,4456
715391433,$60K - $80K,2143
708722583,Less than $40K,3024
720452508,Unknown,3848
714566958,$80K - $120K,2291
806179683,$40K - $60K,4433
806244183,$60K - $80K,4544
787999533,$120K +,3595
718358808,Less than $40K,3758
718474683,$120K +,3092
716908158,Less than $40K,3299
713984208,$40K - $60K,4029
713013483,Less than $40K,3754
754599558,Less than $40K,3825
788739633,$120K +,2136
712411908,$60K - $80K,4071
717538683,$120K +,3204
709447908,$60K - $80K,3281
718963158,$120K +,3230
714358008,Unknown,4659
720758808,$60K - $80K,1995
708255633,$80K - $120K,3240
716101308,$40K - $60K,4251
715858008,$40K - $60K,1224
806226933,$120K +,3660
708361833,$80K - $120K,3650
778422933,Unknown,3323
708957183,$40K - $60K,2198
718000383,Unknown,4274
714466458,Unknown,3400
719608308,$60K - $80K,2927
792995808,$40K - $60K,3474
716211258,Less than $40K,1966
779289033,Unknown,3328
719356008,Less than $40K,4548
718503108,$120K +,3792
813053733,$120K +,3029
720529308,$60K - $80K,1805
787578183,$80K - $120K,3204
737952333,Less than $40K,3435
779498058,$80K - $120K,2006
799707858,Less than $40K,3584
719543208,Unknown,3789
797743233,$60K - $80K,4542
710658483,$40K - $60K,2098
715399908,Unknown,4175
710288883,Less than $40K,5054
719912808,$60K - $80K,4288
720247158,Unknown,3787
718672233,Unknown,3395
789593058,$60K - $80K,3311
710278458,$80K - $120K,1643
803026008,$80K - $120K,3463
772000533,$60K - $80K,1809
715480983,Less than $40K,3403
819997983,$80K - $120K,1453
807593058,$40K - $60K,2003
720437358,$40K - $60K,3596
719465733,Less than $40K,4458
711978858,Less than $40K,4422
814364808,Unknown,2624
788820933,$60K - $80K,3511
713316558,$60K - $80K,3776
779856483,$80K - $120K,3368
717085983,$40K - $60K,4312
709914858,Less than $40K,5169
716111808,Less than $40K,1723
708618933,$120K +,3259
720446508,Less than $40K,2681
756488883,$80K - $120K,2040
708414033,$40K - $60K,3730
756727233,$120K +,4895
720379533,$120K +,2066
720340383,Less than $40K,4034
771453033,$60K - $80K,3170
708747708,$80K - $120K,2512
712460433,$40K - $60K,4112
719801508,$120K +,4314
720983733,$60K - $80K,2136
713657733,$60K - $80K,3809
709955958,Less than $40K,3374
719099583,$40K - $60K,1360
719513733,$80K - $120K,4276
710654808,$80K - $120K,2308
719651358,Unknown,4092
718917408,$40K - $60K,3704
808753758,$120K +,4109
711699183,$60K - $80K,3723
711196458,Less than $40K,1893
772565883,$80K - $120K,4719
717203958,$40K - $60K,1842
769701258,Unknown,3996
714933783,$60K - $80K,3775
717650133,$60K - $80K,3571
708707808,$60K - $80K,3438
717331758,$120K +,4228
801385458,$120K +,4017
710605458,$60K - $80K,4127
719570733,$60K - $80K,3766
708646233,Unknown,3632
766006758,$60K - $80K,1734
709224033,$60K - $80K,1830
795991758,$40K - $60K,4079
709381383,$60K - $80K,3830
810321933,$80K - $120K,1898
716235783,$40K - $60K,4047
758833758,$40K - $60K,3520
713579733,$60K - $80K,2597
804649833,$40K - $60K,3436
780971583,$120K +,3772
804673308,$40K - $60K,1866
788747358,$40K - $60K,4836
713199558,Less than $40K,3669
713777883,Unknown,3543
771081558,$120K +,2862
710229333,$40K - $60K,3812
720406233,Less than $40K,1770
767784708,$60K - $80K,2356
712052058,$40K - $60K,4212
715278708,$60K - $80K,3851
827049558,$80K - $120K,4421
710248233,$40K - $60K,3392
712146558,Less than $40K,3230
715179933,Unknown,4253
709215708,$60K - $80K,3737
710668458,Less than $40K,3405
718828083,$40K - $60K,3533
720781158,$40K - $60K,3829
716938383,$80K - $120K,3811
709976358,Less than $40K,3952
715688958,Less than $40K,4550
721493883,Less than $40K,3313
715354983,$40K - $60K,3653
713532858,$80K - $120K,4077
721295658,$80K - $120K,3975
720313083,$120K +,2637
720724008,$80K - $120K,3717
712828533,$60K - $80K,4820
717007458,$40K - $60K,3256
710728458,Less than $40K,4409
717720108,$80K - $120K,3274
720648483,$80K - $120K,1821
770146008,$40K - $60K,1908
714829683,$80K - $120K,3688
717015333,$120K +,3974
757837458,Unknown,4065
719240358,$60K - $80K,4095
719036883,Less than $40K,4163
714000108,Unknown,3658
720786033,$80K - $120K,2489
708917133,$80K - $120K,4498
818929158,$40K - $60K,2220
709513458,$60K - $80K,3213
717705858,$80K - $120K,2528
716573058,Less than $40K,1598
827695683,$120K +,3906
819189108,$80K - $120K,4456
716977758,Less than $40K,1913
714901383,$80K - $120K,4503
718500633,Less than $40K,3270
713516433,Less than $40K,2934
712642533,$80K - $120K,3788
721498008,Less than $40K,3966
717189183,$40K - $60K,2665
708902883,$120K +,3364
817889583,$40K - $60K,2260
717242058,Less than $40K,2134
